year,D_max,D_apr,D_may,D_jun,ET_apr,ET_may,ET_jun,PT_apr,PT_may,PT_jun,PT_jul,PDO_win
1948,NaN,968,6550,10700,8.3,10.7,16.2,7.6,8.8,9.6,10,-1.84
1949,NaN,2150,6380,6140,8.5,12.2,14.7,7.4,8.5,9.2,9.7,-1.56
1950,12500,952,4160,8880,7.8,10.6,14.5,6.7,7.3,8.6,9.7,-1.544
1951,8040,1650,6040,6020,9.1,12.4,14.5,7.2,8.2,8.9,9.8,-1.012
1952,8330,1700,5670,6790,8.4,11.4,13.5,7.1,8,8.6,9.3,-0.496
1953,7220,920,4960,6020,9.1,12.2,14.4,7.6,8.5,9.1,9.9,-0.682
1954,9060,796,4100,7600,8.4,12.3,13.2,7.5,8.3,8.8,9.2,-0.472
1955,11300,1280,3520,7950,8.6,10.6,13,7.2,7.9,8.7,9.3,-2.722
1956,9680,1700,5800,7740,9.2,13.1,12.9,6.8,7.9,8.5,9.3,-1.172
1957,10400,1510,8170,6820,9,13.1,15.8,7.2,8.5,9,9.7,0.05
1958,9770,2450,6390,7430,9.7,14.2,17.6,8.8,9.4,10.3,10.5,-0.002
1959,8470,1560,4830,7460,9.3,12.5,14.8,8,8.7,9.6,10,0.356
1960,9340,2530,4390,6980,9.1,11.4,14.4,7.8,9,9.2,9.8,0.328
1961,9510,2110,5250,7790,9,12.3,16,8.3,9.1,10,10.3,-1.68
1962,8210,2380,4150,6970,9,11.7,14.8,7.6,8.5,9.1,10,-0.472
1963,7700,2130,4420,6670,9.4,13.2,15.5,8.4,9.4,9.7,10.1,-0.846
1964,11600,1490,3990,10200,8.7,11.8,14.4,7.9,8.2,9.5,9.9,-0.936
1965,8580,2100,5220,7400,8.7,11.3,15.2,7.7,8.3,9.3,9.9,-0.534
1966,7900,2450,5290,7030,9.2,12,13.5,7.9,8.3,8.9,9.8,-0.61
1967,10800,1340,5420,9960,8.6,12.2,16.6,7.8,8.7,9.5,10.1,-0.422
1968,8830,1760,5230,7890,8.8,12.3,14.4,7.6,8.8,9.6,10.5,-0.884
1969,7820,2330,5150,6520,8.2,12.4,16.1,7.5,8.3,9.4,9.9,0.78
1970,8670,1410,3630,6560,9,12.1,16.3,7.9,8.4,9.2,9.3,-1.418
1971,8500,1550,6120,7590,8.3,11.5,13.1,7.1,8,8.8,9.6,-1.806
1972,12900,2100,6450,10800,7.5,12.2,14.7,6.7,8,8.7,9.7,-0.266
1973,7960,1550,4910,6180,9.4,11.7,13.6,7.6,8.4,8.8,9.2,-1.268
1974,10800,2320,5890,8430,8.7,11.1,13.6,7.5,8.2,8.9,9.3,-0.35
